produit,marque,code_barre,prix,prix_num,categorie,magasin,url_magasin,url_produit
Petit pain aux Olives,,3523680478428,"0,49 €",0.49,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/petit-pain-aux-olives-3523680478428
Demi Flûte,,3248288165326,"0,50 €",0.5,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/demi-flute-3248288165326
Demi flûte,,3276550564621,"0,50 €",0.5,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/demi-flute-3276550564621
Sucre vanillé  SAINTE LUCIE,SAINTE LUCIE,3162050034033,"0,51 €",0.51,alimentaire_sucre,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/sucre-vanille-sainte-lucie-3162050034033
Nouilles instantanées Noodles saveur poulet CARREFOUR SENSATION,CARREFOUR SENSATION,3560070824861,"0,52 €",0.52,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-noodles-saveur-poulet-carrefour-sensation-3560070824861
Nouilles instantanées saveur crevettes CARREFOUR,CARREFOUR,3560070824885,"0,52 €",0.52,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-crevettes-carrefour-3560070824885
Nouilles instantanées saveur curry CARREFOUR SENSATION,CARREFOUR SENSATION,3560070957293,"0,52 €",0.52,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-curry-carrefour-sensation-3560070957293
Nouilles instantanées au bœuf halal YUM YUM,YUM YUM,8852018101017,"0,55 €",0.55,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-au-boeuf-halal-yum-yum-8852018101017
Nouilles instantanées aux crevettes halal YUM YUM,YUM YUM,8852018101055,"0,55 €",0.55,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-aux-crevettes-halal-yum-yum-8852018101055
Nouilles instantanées au poulet YUM YUM,YUM YUM,8852018101024,"0,55 €",0.55,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-au-poulet-yum-yum-8852018101024
Levure boulangère ALNATURA,ALNATURA,0000040045344,"0,59 €",0.59,alimentaire_farine,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/levure-boulangere-alnatura-0000040045344
Citron jaune,,3000001032670,"0,59 €",0.59,alimentaire_fruits_legumes,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/citron-jaune-3000001032670
Brosse à dents Médium SIMPL,SIMPL,3560071409616,"0,59 €",0.59,hygiene_brosse_a_dents,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/brosse-a-dents-medium-simpl-3560071409616
Brosse à dents Souple Sensitive SIMPL,SIMPL,3560071481193,"0,59 €",0.59,hygiene_brosse_a_dents,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/brosse-a-dents-souple-sensitive-simpl-3560071481193
Shampoing Pour Tous Types De Cheveux Aux Oeufs SIMPL,SIMPL,3560071164867,"0,59 €",0.59,hygiene_shampooing,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/shampoing-pour-tous-types-de-cheveux-aux-oeufs-simpl-3560071164867
Nouilles instantanées fruits de mer/citronnelle APOLLO,APOLLO,6091091000332,"0,59 €",0.59,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-fruits-de-mer-citronnelle-apollo-6091091000332
Nouilles saveur poulet APOLLO,APOLLO,6091091000301,"0,59 €",0.59,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-saveur-poulet-apollo-6091091000301
Baguette,,3461180554245,"0,59 €",0.59,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/baguette-3461180554245
Nouilles instantanées saveur crevettes APOLLO,APOLLO,6091091000189,"0,59 €",0.59,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-crevettes-apollo-6091091000189
Baguette,,3523680244863,"0,59 €",0.59,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/baguette-3523680244863
Baguette cuite sur place,,3464382607832,"0,59 €",0.59,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/baguette-cuite-sur-place-3464382607832
Baguette,,3461180377233,"0,59 €",0.59,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/baguette-3461180377233
Nouilles instantanées saveur bœuf rôti APOLLO,APOLLO,6091091001681,"0,59 €",0.59,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/nouilles-instantanees-saveur-boeuf-roti-apollo-6091091001681
Baguettine rustique,,3276557746730,"0,60 €",0.6,alimentaire_pain,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/baguettine-rustique-3276557746730
Levure chimique universelle SAINTE LUCIE,SAINTE LUCIE,3162050009017,"0,63 €",0.63,alimentaire_farine,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/levure-chimique-universelle-sainte-lucie-3162050009017
Pâtes Pevide Midolline Classica NACIONAL,NACIONAL,5601066300483,"0,63 €",0.63,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-pevide-midolline-classica-nacional-5601066300483
Pâtes Bagos Biava MILANEZA,MILANEZA,5601286233776,"0,63 €",0.63,alimentaire_pates,Contact Longpre Les Corps Saints,https://www.carrefour.fr/magasin/contact-longpre-les-corps-saints,https://www.carrefour.fr/p/pates-bagos-biava-milaneza-5601286233776
