produit,categorie,magasin,url_magasin,prix_txt,prix_num,url_produit,source,scraped_at
Harrys Brioche Mini Tressée au sucre perlé x6 - 210g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"2,29 €",2.29,https://courses.monoprix.fr/products/harrys-brioche-mini-tressée-au-sucre-perlé-x6-210g/MPX_3046970,monoprix_scrape,2026-01-28T10:49:22
Alsa Sucre Vanillé 6 Sachets 45g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"2,39 €",2.39,https://courses.monoprix.fr/products/alsa-sucre-vanillé-6-sachets-45g/MPX_1858938,monoprix_scrape,2026-01-28T10:49:22
Funkie Les Fourrées Beurre De Cacahuète Et Cacao Bio 250g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"4,99 €",4.99,https://courses.monoprix.fr/products/funkie-les-fourrées-beurre-de-cacahuète-et-cacao-bio-250g/MPX_4076516,monoprix_scrape,2026-01-28T10:49:22
Nature Valley Barre De Céréales Crunchy Avoine & Miel 5X42G,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"4,15 €",4.15,https://courses.monoprix.fr/products/nature-valley-barre-de-céréales-crunchy-avoine-miel-5x42g/MPX_3243531,monoprix_scrape,2026-01-28T10:49:22
Carte Noire 30 capsules alu espresso intense n°9 - 165g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"10,65 €",10.65,https://courses.monoprix.fr/products/carte-noire-30-capsules-alu-espresso-intense-n-9-165g/MPX_6573464,monoprix_scrape,2026-01-28T10:49:22
Funkie Céréales fourrées cacao noisette Bio 250g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"4,99 €",4.99,https://courses.monoprix.fr/products/funkie-céréales-fourrées-cacao-noisette-bio-250g/MPX_6716086,monoprix_scrape,2026-01-28T10:49:22
Andros Pâtes à Tartiner Cacahuètes Crémeuse 325g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"3,89 €",3.89,https://courses.monoprix.fr/products/andros-pâtes-à-tartiner-cacahuètes-crémeuse-325g/MPX_6665604,monoprix_scrape,2026-01-28T10:49:22
Daddy Sucre En Poudre La Poche Kraft 750g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"2,09 €",2.09,https://courses.monoprix.fr/products/daddy-sucre-en-poudre-la-poche-kraft-750g/MPX_3835107,monoprix_scrape,2026-01-28T10:49:22
Léonce Blanc Confiture Myrtille 70% 320g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"5,15 €",5.15,https://courses.monoprix.fr/products/léonce-blanc-confiture-myrtille-70-320g/MPX_4219626,monoprix_scrape,2026-01-28T10:49:22
Carte Noire 30 capsules alu espresso classique n°7 - 165g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"10,65 €",10.65,https://courses.monoprix.fr/products/carte-noire-30-capsules-alu-espresso-classique-n-7-165g/MPX_6573462,monoprix_scrape,2026-01-28T10:49:22
Vahiné Vanille Bourbon liquide arôme naturel 50ml,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"5,89 €",5.89,https://courses.monoprix.fr/products/vahiné-vanille-bourbon-liquide-arôme-naturel-50ml/MPX_797870,monoprix_scrape,2026-01-28T10:49:22
Nature Valley Barre de céréales protein chocolat & cranberries 4x40g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"4,15 €",4.15,https://courses.monoprix.fr/products/nature-valley-barre-de-céréales-protein-chocolat-cranberries-4x40g/MPX_6614338,monoprix_scrape,2026-01-28T10:49:22
Andros Be Nuts PAT 100% Cacahuète 320g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"3,95 €",3.95,https://courses.monoprix.fr/products/andros-be-nuts-pat-100-cacahuète-320g/MPX_6851825,monoprix_scrape,2026-01-28T10:49:22
Nestlé Dessert Chocolat Noir 3x205g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"9,89 €",9.89,https://courses.monoprix.fr/products/nestlé-dessert-chocolat-noir-3x205g/MPX_2397194,monoprix_scrape,2026-01-28T10:49:22
"Alsa Sucre Vanillé Des Isles 7 Sachets, 53g",alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"3,85 €",3.85,https://courses.monoprix.fr/products/alsa-sucre-vanillé-des-isles-7-sachets-53g/MPX_2321566,monoprix_scrape,2026-01-28T10:49:22
Nature Valley Barre de Céréales Crunchy Avoine & Chocolat - 5x42g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"4,15 €",4.15,https://courses.monoprix.fr/products/nature-valley-barre-de-céréales-crunchy-avoine-chocolat-5x42g/MPX_3243530,monoprix_scrape,2026-01-28T10:49:22
Daddy Cassonade Pure Canne La Poche Kraft 750g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"2,59 €",2.59,https://courses.monoprix.fr/products/daddy-cassonade-pure-canne-la-poche-kraft-750g/MPX_3835108,monoprix_scrape,2026-01-28T10:49:22
Seeberger Assortiment de Noix 400g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"12,99 €",12.99,https://courses.monoprix.fr/products/seeberger-assortiment-de-noix-400g/MPX_2638526,monoprix_scrape,2026-01-28T10:49:22
Mandy' Beurre de Cacahuètes Bio avec morceaux 340g,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"5,99 €",5.99,https://courses.monoprix.fr/products/mandy-beurre-de-cacahuètes-bio-avec-morceaux-340g/MPX_5642282,monoprix_scrape,2026-01-28T10:49:22
Vahiné Arôme vanille 200ml,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"3,95 €",3.95,https://courses.monoprix.fr/products/vahiné-arôme-vanille-200ml/MPX_11931,monoprix_scrape,2026-01-28T10:49:22
Béghin Say Sucre extra fin la boîte de 1kg,alimentaire_sucre,Monoprix Courses (online),https://courses.monoprix.fr,"3,19 €",3.19,https://courses.monoprix.fr/products/béghin-say-sucre-extra-fin-la-boîte-de-1kg/MPX_160616,monoprix_scrape,2026-01-28T10:49:22
