produit,categorie,prix,prix_num,url_produit,magasin,url_magasin
Rummo Pâtes Linguine n°13 500g,alimentaire_pates,"2,45 €",2.45,https://courses.monoprix.fr/products/rummo-pâtes-linguine-n-13-500g/MPX_2339285,Monoprix Courses (online),https://courses.monoprix.fr
Rummo Pâtes Mezzi Rigatoni n°51 500g,alimentaire_pates,"2,45 €",2.45,https://courses.monoprix.fr/products/rummo-pâtes-mezzi-rigatoni-n-51-500g/MPX_2936607,Monoprix Courses (online),https://courses.monoprix.fr
Rummo Pâtes Farfalle N°85 500g,alimentaire_pates,"2,45 €",2.45,https://courses.monoprix.fr/products/rummo-pâtes-farfalle-n-85-500g/MPX_2520541,Monoprix Courses (online),https://courses.monoprix.fr
Rummo Penne Rigate n°66 500g,alimentaire_pates,"2,45 €",2.45,https://courses.monoprix.fr/products/rummo-penne-rigate-n-66-500g/MPX_2414223,Monoprix Courses (online),https://courses.monoprix.fr
Monoprix Bio Riz Basmati 500g,alimentaire_riz,"2,49 €",2.49,https://courses.monoprix.fr/products/monoprix-bio-riz-basmati-500g/MPX_1878528,Monoprix Courses (online),https://courses.monoprix.fr
Monoprix Sucre Blanc en Poudre 750g,alimentaire_sucre,"1,59 €",1.59,https://courses.monoprix.fr/products/monoprix-sucre-blanc-en-poudre-750g/MPX_3232463,Monoprix Courses (online),https://courses.monoprix.fr
Cif Nettoyant Spray Javel Universel 750ml,entretien_eau_de_javel,"3,19 €",3.19,https://courses.monoprix.fr/products/cif-nettoyant-spray-javel-universel-750ml/MPX_6743368,Monoprix Courses (online),https://courses.monoprix.fr
"Mir Refresh Lessive Liquide Raviveur De Couleurs 27 Lavages 1,35L",entretien_lessive_linge,"8,99 €",8.99,https://courses.monoprix.fr/products/mir-refresh-lessive-liquide-raviveur-de-couleurs-27-lavages-1-35l/MPX_6708517,Monoprix Courses (online),https://courses.monoprix.fr
"Ariel Original Lessive Liquide *23 1,035L",entretien_lessive_linge,"10,90 €",10.9,https://courses.monoprix.fr/products/ariel-original-lessive-liquide-23-1-035l/MPX_6813931,Monoprix Courses (online),https://courses.monoprix.fr
Paic Liquide Vaisselle Super Dégraissant Citron 750ml,entretien_liquide_vaisselle,"2,59 €",2.59,https://courses.monoprix.fr/products/paic-liquide-vaisselle-super-dégraissant-citron-750ml/MPX_5467916,Monoprix Courses (online),https://courses.monoprix.fr
Paic Excel Liquide vaisselle ultra dégraissant 500ml,entretien_liquide_vaisselle,"2,85 €",2.85,https://courses.monoprix.fr/products/paic-excel-liquide-vaisselle-ultra-dégraissant-500ml/MPX_6072632,Monoprix Courses (online),https://courses.monoprix.fr
Monoprix Liquide Rinçage Lave-Vaisselle 750ml,entretien_liquide_vaisselle,"3,45 €",3.45,https://courses.monoprix.fr/products/monoprix-liquide-rinçage-lave-vaisselle-750ml/MPX_2220445,Monoprix Courses (online),https://courses.monoprix.fr
Finish Quantum Capsules Lave-Vaisselle *30 312g,entretien_liquide_vaisselle,"9,99 €",9.99,https://courses.monoprix.fr/products/finish-quantum-capsules-lave-vaisselle-30-312g/MPX_6813914,Monoprix Courses (online),https://courses.monoprix.fr
FINISH Gel lave-vaisselle Power 900ml,entretien_liquide_vaisselle,"9,99 €",9.99,https://courses.monoprix.fr/products/finish-gel-lave-vaisselle-power-900ml/MPX_6813912,Monoprix Courses (online),https://courses.monoprix.fr
Sun Expert Plus Tablette Lave-Vaisselle Touten1 x40 700g,entretien_liquide_vaisselle,"11,39 €",11.39,https://courses.monoprix.fr/products/sun-expert-plus-tablette-lave-vaisselle-touten1-x40-700g/MPX_6718854,Monoprix Courses (online),https://courses.monoprix.fr
Oral-B Braun Pro kids 3+ spider-man brosse à dents électrique,hygiene_brosse_a_dents,"38,50 €",38.5,https://courses.monoprix.fr/products/oral-b-braun-pro-kids-3-spider-man-brosse-à-dents-électrique/MPX_6624523,Monoprix Courses (online),https://courses.monoprix.fr
Monoprix Bio Dentifrice solide 30g,hygiene_dentifrice,"7,49 €",7.49,https://courses.monoprix.fr/products/monoprix-bio-dentifrice-solide-30g/MPX_4041870,Monoprix Courses (online),https://courses.monoprix.fr
Eco By Naty Serviettes Fuites Urinaires Normal x12,hygiene_protections_feminines,"4,44 €",4.44,https://courses.monoprix.fr/products/eco-by-naty-serviettes-fuites-urinaires-normal-x12/MPX_4097367,Monoprix Courses (online),https://courses.monoprix.fr
Ambre Solaire Lait Haute Protection Ip30 50ml,hygiene_protections_feminines,"5,15 €",5.15,https://courses.monoprix.fr/products/ambre-solaire-lait-haute-protection-ip30-50ml/MPX_3990262,Monoprix Courses (online),https://courses.monoprix.fr
Ambre Solaire Lait Solaire Haute Protection Eco-Conçu FPS 30 200ml,hygiene_protections_feminines,"14,90 €",14.9,https://courses.monoprix.fr/products/ambre-solaire-lait-solaire-haute-protection-eco-conçu-fps-30-200ml/MPX_3990258,Monoprix Courses (online),https://courses.monoprix.fr
Axe Suprême Gel douche 400ml,hygiene_savon,"4,59 €",4.59,https://courses.monoprix.fr/products/axe-suprême-gel-douche-400ml/MPX_6853252,Monoprix Courses (online),https://courses.monoprix.fr
Le Chat Sensitive Discs Lessive Aloe Vera & Savon de Marseille *23 Lavages,hygiene_savon,"11,99 €",11.99,https://courses.monoprix.fr/products/le-chat-sensitive-discs-lessive-aloe-vera-savon-de-marseille-23-lavages/MPX_6738053,Monoprix Courses (online),https://courses.monoprix.fr
Le Chat Sensitive Savon de Marseille 63 lavages 2.8L,hygiene_savon,"19,39 €",19.39,https://courses.monoprix.fr/products/le-chat-sensitive-savon-de-marseille-63-lavages-2-8l/MPX_6679600,Monoprix Courses (online),https://courses.monoprix.fr
Head & Shoulders Shampoing antipelliculaire 2en1 apple fresh 300ml,hygiene_shampooing,"7,19 €",7.19,https://courses.monoprix.fr/products/head-shoulders-shampoing-antipelliculaire-2en1-apple-fresh-300ml/MPX_6715849,Monoprix Courses (online),https://courses.monoprix.fr
Head & Shoulders menthol fresh Shampoing antipelliculaire 330ml,hygiene_shampooing,"7,19 €",7.19,https://courses.monoprix.fr/products/head-shoulders-menthol-fresh-shampoing-antipelliculaire-330ml/MPX_6692494,Monoprix Courses (online),https://courses.monoprix.fr
Head & Shoulders Shampooing antipelliculaire pure intense 250ml,hygiene_shampooing,"7,19 €",7.19,https://courses.monoprix.fr/products/head-shoulders-shampooing-antipelliculaire-pure-intense-250ml/MPX_6715860,Monoprix Courses (online),https://courses.monoprix.fr
